experiment_name,precision,elapsed_ms,iterations,avg_time_ns,min_time_ns,max_time_ns,time_stddev,iterations_per_sec,result,category,symbol,name,config,mass
Ac_Actinium_benchmark,f32,34,5000,6847.0692,6847.0692,6847.0692,0,147058.82352941178,Z=89 | Ac (Actinium) | 227.027752 u | actinide | [Rn] 6d¹ 7s²,actinide,Ac,Actinium,[Rn] 6d¹ 7s²,227.027752
Th_Thorium_benchmark,f64,72,10000,7229.1052,7229.1052,7229.1052,0,138888.88888888888,Z=90 | Th (Thorium) | 232.0377 u | actinide | [Rn] 6d² 7s²,actinide,Th,Thorium,[Rn] 6d² 7s²,232.0377
Pa_Protactinium_benchmark,f32,7,1000,7288.521,7288.521,7288.521,0,142857.14285714287,Z=91 | Pa (Protactinium) | 231.03588 u | actinide | [Rn] 5f² 6d¹ 7s²,actinide,Pa,Protactinium,[Rn] 5f² 6d¹ 7s²,231.03588
U_Uranium_benchmark,f64,35,5000,7130.2692,7130.2692,7130.2692,0,142857.14285714287,Z=92 | U (Uranium) | 238.02891 u | actinide | [Rn] 5f³ 6d¹ 7s²,actinide,U,Uranium,[Rn] 5f³ 6d¹ 7s²,238.02891
Np_Neptunium_benchmark,f32,71,10000,7185.7732,7185.7732,7185.7732,0,140845.0704225352,Z=93 | Np (Neptunium) | 237.048174 u | actinide | [Rn] 5f⁴ 6d¹ 7s²,actinide,Np,Neptunium,[Rn] 5f⁴ 6d¹ 7s²,237.048174
Pu_Plutonium_benchmark,f64,7,1000,7347.302,7347.302,7347.302,0,142857.14285714287,Z=94 | Pu (Plutonium) | 244.064204 u | actinide | [Rn] 5f⁶ 7s²,actinide,Pu,Plutonium,[Rn] 5f⁶ 7s²,244.064204
Am_Americium_benchmark,f32,36,5000,7340.2292,7340.2292,7340.2292,0,138888.88888888888,Z=95 | Am (Americium) | 243.061381 u | actinide | [Rn] 5f⁷ 7s²,actinide,Am,Americium,[Rn] 5f⁷ 7s²,243.061381
Cm_Curium_benchmark,f64,76,10000,7677.8924,7677.8924,7677.8924,0,131578.94736842104,Z=96 | Cm (Curium) | 247.070354 u | actinide | [Rn] 5f⁷ 6d¹ 7s²,actinide,Cm,Curium,[Rn] 5f⁷ 6d¹ 7s²,247.070354
Bk_Berkelium_benchmark,f32,7,1000,7817.071,7817.071,7817.071,0,142857.14285714287,Z=97 | Bk (Berkelium) | 247.070307 u | actinide | [Rn] 5f⁹ 7s²,actinide,Bk,Berkelium,[Rn] 5f⁹ 7s²,247.070307
Cf_Californium_benchmark,f64,39,5000,7892.6094,7892.6094,7892.6094,0,128205.1282051282,Z=98 | Cf (Californium) | 251.079587 u | actinide | [Rn] 5f¹⁰ 7s²,actinide,Cf,Californium,[Rn] 5f¹⁰ 7s²,251.079587
Es_Einsteinium_benchmark,f32,78,10000,7817.0544,7817.0544,7817.0544,0,128205.1282051282,Z=99 | Es (Einsteinium) | 252.08298 u | actinide | [Rn] 5f¹¹ 7s²,actinide,Es,Einsteinium,[Rn] 5f¹¹ 7s²,252.08298
Fm_Fermium_benchmark,f64,8,1000,8230.761,8230.761,8230.761,0,125000,Z=100 | Fm (Fermium) | 257.095105 u | actinide | [Rn] 5f¹² 7s²,actinide,Fm,Fermium,[Rn] 5f¹² 7s²,257.095105
Md_Mendelevium_benchmark,f32,40,5000,8117.1394,8117.1394,8117.1394,0,125000,Z=101 | Md (Mendelevium) | 258.098431 u | actinide | [Rn] 5f¹³ 7s²,actinide,Md,Mendelevium,[Rn] 5f¹³ 7s²,258.098431
No_Nobelium_benchmark,f64,83,10000,8344.9215,8344.9215,8344.9215,0,120481.92771084337,Z=102 | No (Nobelium) | 259.10103 u | actinide | [Rn] 5f¹⁴ 7s²,actinide,No,Nobelium,[Rn] 5f¹⁴ 7s²,259.10103
Lr_Lawrencium_benchmark,f32,8,1000,8910.241,8910.241,8910.241,0,125000,Z=103 | Lr (Lawrencium) | 266.12 u | actinide | [Rn] 5f¹⁴ 7s² 7p¹,actinide,Lr,Lawrencium,[Rn] 5f¹⁴ 7s² 7p¹,266.12
