experiment_name,precision,elapsed_ms,iterations,avg_time_ns,min_time_ns,max_time_ns,time_stddev,iterations_per_sec,result,category,symbol,name,config,mass
H_Hydrogen_benchmark,f32,0,1000,95.7,95.7,95.7,0,0,Z=1 | H (Hydrogen) | 1.008 u | nonmetal | 1s¹,nonmetal,H,Hydrogen,1s¹,1.008
He_Helium_benchmark,f64,0,5000,194.928,194.928,194.928,0,0,Z=2 | He (Helium) | 4.002602 u | noble gas | 1s²,noble gas,He,Helium,1s²,4.002602
Li_Lithium_benchmark,f32,2,10000,265.7171,265.7171,265.7171,0,5000000,Z=3 | Li (Lithium) | 6.941 u | alkali metal | 1s² 2s¹,alkali metal,Li,Lithium,1s² 2s¹,6.941
Be_Beryllium_benchmark,f64,0,1000,346.21,346.21,346.21,0,0,Z=4 | Be (Beryllium) | 9.0121831 u | alkaline earth metal | 1s² 2s²,alkaline earth metal,Be,Beryllium,1s² 2s²,9.0121831
B_Boron_benchmark,f32,2,5000,463.134,463.134,463.134,0,2500000,Z=5 | B (Boron) | 10.81 u | metalloid | 1s² 2s² 2p¹,metalloid,B,Boron,1s² 2s² 2p¹,10.81
C_Carbon_benchmark,f64,5,10000,514.7931,514.7931,514.7931,0,2000000,Z=6 | C (Carbon) | 12.011 u | nonmetal | 1s² 2s² 2p²,nonmetal,C,Carbon,1s² 2s² 2p²,12.011
N_Nitrogen_benchmark,f32,0,1000,557.65,557.65,557.65,0,0,Z=7 | N (Nitrogen) | 14.007 u | nonmetal | 1s² 2s² 2p³,nonmetal,N,Nitrogen,1s² 2s² 2p³,14.007
O_Oxygen_benchmark,f64,3,5000,639.5702,639.5702,639.5702,0,1666666.6666666667,Z=8 | O (Oxygen) | 15.999 u | nonmetal | 1s² 2s² 2p⁴,nonmetal,O,Oxygen,1s² 2s² 2p⁴,15.999
F_Fluorine_benchmark,f32,8,10000,804.6521,804.6521,804.6521,0,1250000,Z=9 | F (Fluorine) | 18.998403 u | halogen | 1s² 2s² 2p⁵,halogen,F,Fluorine,1s² 2s² 2p⁵,18.998403
Ne_Neon_benchmark,f64,0,1000,785.88,785.88,785.88,0,0,Z=10 | Ne (Neon) | 20.1797 u | noble gas | 1s² 2s² 2p⁶,noble gas,Ne,Neon,1s² 2s² 2p⁶,20.1797
Na_Sodium_benchmark,f32,4,5000,901.8542,901.8542,901.8542,0,1250000,Z=11 | Na (Sodium) | 22.98976928 u | alkali metal | [Ne] 3s¹,alkali metal,Na,Sodium,[Ne] 3s¹,22.98976928
Mg_Magnesium_benchmark,f64,9,10000,991.7022,991.7022,991.7022,0,1111111.111111111,Z=12 | Mg (Magnesium) | 24.305 u | alkaline earth metal | [Ne] 3s²,alkaline earth metal,Mg,Magnesium,[Ne] 3s²,24.305
Al_Aluminium_benchmark,f32,1,1000,1041.63,1041.63,1041.63,0,1000000,Z=13 | Al (Aluminium) | 26.9815385 u | post-transition metal | [Ne] 3s² 3p¹,post-transition metal,Al,Aluminium,[Ne] 3s² 3p¹,26.9815385
Si_Silicon_benchmark,f64,5,5000,1108.4262,1108.4262,1108.4262,0,1000000,Z=14 | Si (Silicon) | 28.085 u | metalloid | [Ne] 3s² 3p²,metalloid,Si,Silicon,[Ne] 3s² 3p²,28.085
P_Phosphorus_benchmark,f32,11,10000,1193.0482,1193.0482,1193.0482,0,909090.9090909091,Z=15 | P (Phosphorus) | 30.973762 u | nonmetal | [Ne] 3s² 3p³,nonmetal,P,Phosphorus,[Ne] 3s² 3p³,30.973762
S_Sulfur_benchmark,f64,1,1000,1291.49,1291.49,1291.49,0,1000000,Z=16 | S (Sulfur) | 32.06 u | nonmetal | [Ne] 3s² 3p⁴,nonmetal,S,Sulfur,[Ne] 3s² 3p⁴,32.06
Cl_Chlorine_benchmark,f32,6,5000,1321.7162,1321.7162,1321.7162,0,833333.3333333334,Z=17 | Cl (Chlorine) | 35.45 u | halogen | [Ne] 3s² 3p⁵,halogen,Cl,Chlorine,[Ne] 3s² 3p⁵,35.45
Ar_Argon_benchmark,f64,14,10000,1447.2573,1447.2573,1447.2573,0,714285.7142857143,Z=18 | Ar (Argon) | 39.948 u | noble gas | [Ne] 3s² 3p⁶,noble gas,Ar,Argon,[Ne] 3s² 3p⁶,39.948
K_Potassium_benchmark,f32,1,1000,1459.22,1459.22,1459.22,0,1000000,Z=19 | K (Potassium) | 39.0983 u | alkali metal | [Ar] 4s¹,alkali metal,K,Potassium,[Ar] 4s¹,39.0983
Ca_Calcium_benchmark,f64,8,5000,1625.9424,1625.9424,1625.9424,0,625000,Z=20 | Ca (Calcium) | 40.078 u | alkaline earth metal | [Ar] 4s²,alkaline earth metal,Ca,Calcium,[Ar] 4s²,40.078
Sc_Scandium_benchmark,f32,16,10000,1643.5353,1643.5353,1643.5353,0,625000,Z=21 | Sc (Scandium) | 44.955908 u | transition metal | [Ar] 3d¹ 4s²,transition metal,Sc,Scandium,[Ar] 3d¹ 4s²,44.955908
Ti_Titanium_benchmark,f64,1,1000,1805.7,1805.7,1805.7,0,1000000,Z=22 | Ti (Titanium) | 47.867 u | transition metal | [Ar] 3d² 4s²,transition metal,Ti,Titanium,[Ar] 3d² 4s²,47.867
V_Vanadium_benchmark,f32,9,5000,1804.1364,1804.1364,1804.1364,0,555555.5555555555,Z=23 | V (Vanadium) | 50.9415 u | transition metal | [Ar] 3d³ 4s²,transition metal,V,Vanadium,[Ar] 3d³ 4s²,50.9415
Cr_Chromium_benchmark,f64,18,10000,1871.8473,1871.8473,1871.8473,0,555555.5555555555,Z=24 | Cr (Chromium) | 51.9961 u | transition metal | [Ar] 3d⁵ 4s¹,transition metal,Cr,Chromium,[Ar] 3d⁵ 4s¹,51.9961
Mn_Manganese_benchmark,f32,1,1000,1950,1950,1950,0,1000000,Z=25 | Mn (Manganese) | 54.938044 u | transition metal | [Ar] 3d⁵ 4s²,transition metal,Mn,Manganese,[Ar] 3d⁵ 4s²,54.938044
Fe_Iron_benchmark,f64,10,5000,2007.7044,2007.7044,2007.7044,0,500000,Z=26 | Fe (Iron) | 55.845 u | transition metal | [Ar] 3d⁶ 4s²,transition metal,Fe,Iron,[Ar] 3d⁶ 4s²,55.845
Co_Cobalt_benchmark,f32,21,10000,2112.2414,2112.2414,2112.2414,0,476190.4761904762,Z=27 | Co (Cobalt) | 58.933194 u | transition metal | [Ar] 3d⁷ 4s²,transition metal,Co,Cobalt,[Ar] 3d⁷ 4s²,58.933194
Ni_Nickel_benchmark,f64,2,1000,2195.53,2195.53,2195.53,0,500000,Z=28 | Ni (Nickel) | 58.6934 u | transition metal | [Ar] 3d⁸ 4s²,transition metal,Ni,Nickel,[Ar] 3d⁸ 4s²,58.6934
Cu_Copper_benchmark,f32,11,5000,2287.1004,2287.1004,2287.1004,0,454545.45454545453,Z=29 | Cu (Copper) | 63.546 u | transition metal | [Ar] 3d¹⁰ 4s¹,transition metal,Cu,Copper,[Ar] 3d¹⁰ 4s¹,63.546
Zn_Zinc_benchmark,f64,23,10000,2340.0754,2340.0754,2340.0754,0,434782.60869565216,Z=30 | Zn (Zinc) | 65.38 u | transition metal | [Ar] 3d¹⁰ 4s²,transition metal,Zn,Zinc,[Ar] 3d¹⁰ 4s²,65.38
Ga_Gallium_benchmark,f32,2,1000,2465.751,2465.751,2465.751,0,500000,Z=31 | Ga (Gallium) | 69.723 u | post-transition metal | [Ar] 3d¹⁰ 4s² 4p¹,post-transition metal,Ga,Gallium,[Ar] 3d¹⁰ 4s² 4p¹,69.723
Ge_Germanium_benchmark,f64,12,5000,2456.9264,2456.9264,2456.9264,0,416666.6666666667,Z=32 | Ge (Germanium) | 72.63 u | metalloid | [Ar] 3d¹⁰ 4s² 4p²,metalloid,Ge,Germanium,[Ar] 3d¹⁰ 4s² 4p²,72.63
As_Arsenic_benchmark,f32,25,10000,2569.7704,2569.7704,2569.7704,0,400000,Z=33 | As (Arsenic) | 74.921595 u | metalloid | [Ar] 3d¹⁰ 4s² 4p³,metalloid,As,Arsenic,[Ar] 3d¹⁰ 4s² 4p³,74.921595
Se_Selenium_benchmark,f64,2,1000,2641.961,2641.961,2641.961,0,500000,Z=34 | Se (Selenium) | 78.971 u | nonmetal | [Ar] 3d¹⁰ 4s² 4p⁴,nonmetal,Se,Selenium,[Ar] 3d¹⁰ 4s² 4p⁴,78.971
Br_Bromine_benchmark,f32,13,5000,2709.8044,2709.8044,2709.8044,0,384615.3846153846,Z=35 | Br (Bromine) | 79.904 u | halogen | [Ar] 3d¹⁰ 4s² 4p⁵,halogen,Br,Bromine,[Ar] 3d¹⁰ 4s² 4p⁵,79.904
Kr_Krypton_benchmark,f64,28,10000,2877.8355,2877.8355,2877.8355,0,357142.85714285716,Z=36 | Kr (Krypton) | 83.798 u | noble gas | [Ar] 3d¹⁰ 4s² 4p⁶,noble gas,Kr,Krypton,[Ar] 3d¹⁰ 4s² 4p⁶,83.798
Rb_Rubidium_benchmark,f32,2,1000,2849.421,2849.421,2849.421,0,500000,Z=37 | Rb (Rubidium) | 85.4678 u | alkali metal | [Kr] 5s¹,alkali metal,Rb,Rubidium,[Kr] 5s¹,85.4678
Sr_Strontium_benchmark,f64,14,5000,2973.5624,2973.5624,2973.5624,0,357142.85714285716,Z=38 | Sr (Strontium) | 87.62 u | alkaline earth metal | [Kr] 5s²,alkaline earth metal,Sr,Strontium,[Kr] 5s²,87.62
Y_Yttrium_benchmark,f32,31,10000,3136.3476,3136.3476,3136.3476,0,322580.6451612903,Z=39 | Y (Yttrium) | 88.90584 u | transition metal | [Kr] 4d¹ 5s²,transition metal,Y,Yttrium,[Kr] 4d¹ 5s²,88.90584
Zr_Zirconium_benchmark,f64,3,1000,3056.81,3056.81,3056.81,0,333333.3333333333,Z=40 | Zr (Zirconium) | 91.224 u | transition metal | [Kr] 4d² 5s²,transition metal,Zr,Zirconium,[Kr] 4d² 5s²,91.224
