experiment_name,precision,elapsed_ms,iterations,avg_time_ns,min_time_ns,max_time_ns,time_stddev,iterations_per_sec,result,category,symbol,name,config,mass
La_Lanthanum_benchmark,f32,45,10000,4510.3657,4510.3657,4510.3657,0,222222.22222222222,Z=57 | La (Lanthanum) | 138.90547 u | lanthanide | [Xe] 5d¹ 6s²,lanthanide,La,Lanthanum,[Xe] 5d¹ 6s²,138.90547
Ce_Cerium_benchmark,f64,4,1000,4563.78,4563.78,4563.78,0,250000,Z=58 | Ce (Cerium) | 140.116 u | lanthanide | [Xe] 4f¹ 5d¹ 6s²,lanthanide,Ce,Cerium,[Xe] 4f¹ 5d¹ 6s²,140.116
Pr_Praseodymium_benchmark,f32,23,5000,4661.1728,4661.1728,4661.1728,0,217391.30434782608,Z=59 | Pr (Praseodymium) | 140.90766 u | lanthanide | [Xe] 4f³ 6s²,lanthanide,Pr,Praseodymium,[Xe] 4f³ 6s²,140.90766
Nd_Neodymium_benchmark,f64,48,10000,4894.7338,4894.7338,4894.7338,0,208333.33333333334,Z=60 | Nd (Neodymium) | 144.242 u | lanthanide | [Xe] 4f⁴ 6s²,lanthanide,Nd,Neodymium,[Xe] 4f⁴ 6s²,144.242
Pm_Promethium_benchmark,f32,4,1000,4768.081,4768.081,4768.081,0,250000,Z=61 | Pm (Promethium) | 144.912749 u | lanthanide | [Xe] 4f⁵ 6s²,lanthanide,Pm,Promethium,[Xe] 4f⁵ 6s²,144.912749
Sm_Samarium_benchmark,f64,27,5000,5493.317,5493.317,5493.317,0,185185.1851851852,Z=62 | Sm (Samarium) | 150.36 u | lanthanide | [Xe] 4f⁶ 6s²,lanthanide,Sm,Samarium,[Xe] 4f⁶ 6s²,150.36
Eu_Europium_benchmark,f32,51,10000,5127.6159,5127.6159,5127.6159,0,196078.431372549,Z=63 | Eu (Europium) | 151.964 u | lanthanide | [Xe] 4f⁷ 6s²,lanthanide,Eu,Europium,[Xe] 4f⁷ 6s²,151.964
Gd_Gadolinium_benchmark,f64,4,1000,4909.901,4909.901,4909.901,0,250000,Z=64 | Gd (Gadolinium) | 157.25 u | lanthanide | [Xe] 4f⁷ 5d¹ 6s²,lanthanide,Gd,Gadolinium,[Xe] 4f⁷ 5d¹ 6s²,157.25
Tb_Terbium_benchmark,f32,25,5000,5044.6928,5044.6928,5044.6928,0,200000,Z=65 | Tb (Terbium) | 158.92535 u | lanthanide | [Xe] 4f⁹ 6s²,lanthanide,Tb,Terbium,[Xe] 4f⁹ 6s²,158.92535
Dy_Dysprosium_benchmark,f64,56,10000,5624.031,5624.031,5624.031,0,178571.42857142858,Z=66 | Dy (Dysprosium) | 162.5 u | lanthanide | [Xe] 4f¹⁰ 6s²,lanthanide,Dy,Dysprosium,[Xe] 4f¹⁰ 6s²,162.5
Ho_Holmium_benchmark,f32,5,1000,5394.091,5394.091,5394.091,0,200000,Z=67 | Ho (Holmium) | 164.93033 u | lanthanide | [Xe] 4f¹¹ 6s²,lanthanide,Ho,Holmium,[Xe] 4f¹¹ 6s²,164.93033
Er_Erbium_benchmark,f64,27,5000,5426.327,5426.327,5426.327,0,185185.1851851852,Z=68 | Er (Erbium) | 167.259 u | lanthanide | [Xe] 4f¹² 6s²,lanthanide,Er,Erbium,[Xe] 4f¹² 6s²,167.259
Tm_Thulium_benchmark,f32,53,10000,5381.3329,5381.3329,5381.3329,0,188679.24528301886,Z=69 | Tm (Thulium) | 168.93422 u | lanthanide | [Xe] 4f¹³ 6s²,lanthanide,Tm,Thulium,[Xe] 4f¹³ 6s²,168.93422
Yb_Ytterbium_benchmark,f64,5,1000,5344.401,5344.401,5344.401,0,200000,Z=70 | Yb (Ytterbium) | 173.045 u | lanthanide | [Xe] 4f¹⁴ 6s²,lanthanide,Yb,Ytterbium,[Xe] 4f¹⁴ 6s²,173.045
Lu_Lutetium_benchmark,f32,27,5000,5551.339,5551.339,5551.339,0,185185.1851851852,Z=71 | Lu (Lutetium) | 174.9668 u | lanthanide | [Xe] 4f¹⁴ 5d¹ 6s²,lanthanide,Lu,Lutetium,[Xe] 4f¹⁴ 5d¹ 6s²,174.9668
