experiment_name,precision,elapsed_ms,iterations,avg_time_ns,min_time_ns,max_time_ns,time_stddev,iterations_per_sec,result,category,symbol,name,config,mass
Sc_Scandium_benchmark,f32,16,10000,1636.0782,1636.0782,1636.0782,0,625000,Z=21 | Sc (Scandium) | 44.955908 u | transition metal | [Ar] 3d¹ 4s²,transition metal,Sc,Scandium,[Ar] 3d¹ 4s²,44.955908
Ti_Titanium_benchmark,f64,1,1000,1694.399,1694.399,1694.399,0,1000000,Z=22 | Ti (Titanium) | 47.867 u | transition metal | [Ar] 3d² 4s²,transition metal,Ti,Titanium,[Ar] 3d² 4s²,47.867
V_Vanadium_benchmark,f32,8,5000,1794.1752,1794.1752,1794.1752,0,625000,Z=23 | V (Vanadium) | 50.9415 u | transition metal | [Ar] 3d³ 4s²,transition metal,V,Vanadium,[Ar] 3d³ 4s²,50.9415
Cr_Chromium_benchmark,f64,19,10000,1952.344,1952.344,1952.344,0,526315.8,Z=24 | Cr (Chromium) | 51.9961 u | transition metal | [Ar] 3d⁵ 4s¹,transition metal,Cr,Chromium,[Ar] 3d⁵ 4s¹,51.9961
Mn_Manganese_benchmark,f32,1,1000,1907.839,1907.839,1907.839,0,1000000,Z=25 | Mn (Manganese) | 54.938044 u | transition metal | [Ar] 3d⁵ 4s²,transition metal,Mn,Manganese,[Ar] 3d⁵ 4s²,54.938044
Fe_Iron_benchmark,f64,10,5000,2015.3452,2015.3452,2015.3452,0,500000,Z=26 | Fe (Iron) | 55.845 u | transition metal | [Ar] 3d⁶ 4s²,transition metal,Fe,Iron,[Ar] 3d⁶ 4s²,55.845
Co_Cobalt_benchmark,f32,20,10000,2080.072,2080.072,2080.072,0,500000,Z=27 | Co (Cobalt) | 58.933194 u | transition metal | [Ar] 3d⁷ 4s²,transition metal,Co,Cobalt,[Ar] 3d⁷ 4s²,58.933194
Ni_Nickel_benchmark,f64,2,1000,2148.769,2148.769,2148.769,0,500000,Z=28 | Ni (Nickel) | 58.6934 u | transition metal | [Ar] 3d⁸ 4s²,transition metal,Ni,Nickel,[Ar] 3d⁸ 4s²,58.6934
Cu_Copper_benchmark,f32,11,5000,2224.885,2224.885,2224.885,0,454545.47,Z=29 | Cu (Copper) | 63.546 u | transition metal | [Ar] 3d¹⁰ 4s¹,transition metal,Cu,Copper,[Ar] 3d¹⁰ 4s¹,63.546
Zn_Zinc_benchmark,f64,23,10000,2326.91,2326.91,2326.91,0,434782.6,Z=30 | Zn (Zinc) | 65.38 u | transition metal | [Ar] 3d¹⁰ 4s²,transition metal,Zn,Zinc,[Ar] 3d¹⁰ 4s²,65.38
Y_Yttrium_benchmark,f32,30,10000,3073.4475,3073.4475,3073.4475,0,333333.34,Z=39 | Y (Yttrium) | 88.90584 u | transition metal | [Kr] 4d¹ 5s²,transition metal,Y,Yttrium,[Kr] 4d¹ 5s²,88.90584
Zr_Zirconium_benchmark,f64,3,1000,3129.569,3129.569,3129.569,0,333333.34,Z=40 | Zr (Zirconium) | 91.224 u | transition metal | [Kr] 4d² 5s²,transition metal,Zr,Zirconium,[Kr] 4d² 5s²,91.224
Nb_Niobium_benchmark,f32,15,5000,3122.3525,3122.3525,3122.3525,0,333333.34,Z=41 | Nb (Niobium) | 92.90637 u | transition metal | [Kr] 4d⁴ 5s¹,transition metal,Nb,Niobium,[Kr] 4d⁴ 5s¹,92.90637
Mo_Molybdenum_benchmark,f64,32,10000,3299.0063,3299.0063,3299.0063,0,312500,Z=42 | Mo (Molybdenum) | 95.95 u | transition metal | [Kr] 4d⁵ 5s¹,transition metal,Mo,Molybdenum,[Kr] 4d⁵ 5s¹,95.95
