experiment_name,precision,elapsed_ms,iterations,avg_time_ns,min_time_ns,max_time_ns,time_stddev,iterations_per_sec,result,category,symbol,name,altitude,temperature,pressure,relative_humidity,saturation_vp,dew_point,density_altitude,potential_temp,mixing_ratio,lcl
Paris CDG_weather,f64,28,5000,5650.987,5650.987,5650.987,0,178571.42857142858,Paris CDG | 119m | 12.4 °C | RH=78% | Td=8.7 °C | DA=-164 m | θ=285.5 K,Temperate,P,Paris CDG,119 m,12.4 °C,1013.2 hPa,78%,14.39 hPa,8.7 °C,-164 m,285.5 K,6.97 g/kg,381 m AGL
Tokyo Narita_weather,f64,27,5000,5584.677,5584.677,5584.677,0,185185.1851851852,Tokyo Narita | 44m | 16.3 °C | RH=71% | Td=11.0 °C | DA=211 m | θ=289.3 K,Temperate,T,Tokyo Narita,44 m,16.3 °C,1015.0 hPa,71%,18.52 hPa,11.0 °C,211 m,289.3 K,8.16 g/kg,539 m AGL
Denver Intl_weather,f64,27,5000,5547.547,5547.547,5547.547,0,185185.1851851852,Denver Intl | 1655m | 10.1 °C | RH=45% | Td=-1.3 °C | DA=1464 m | θ=299.4 K,Alpine,D,Denver Intl,1655 m,10.1 °C,835.0 hPa,45%,12.35 hPa,-1.3 °C,1464 m,299.4 K,4.17 g/kg,1166 m AGL
Mexico City_weather,f64,27,5000,5568.533,5568.533,5568.533,0,185185.1851851852,Mexico City | 2250m | 16.0 °C | RH=52% | Td=6.2 °C | DA=2910 m | θ=312.4 K,Alpine,M,Mexico City,2250 m,16.0 °C,773.0 hPa,52%,18.17 hPa,6.2 °C,2910 m,312.4 K,7.70 g/kg,1008 m AGL
McMurdo Base_weather,f64,33,5000,6746.3452,6746.3452,6746.3452,0,151515.15151515152,McMurdo Base | 10m | -18.0 °C | RH=60% | Td=-23.9 °C | DA=-3948 m | θ=257.3 K,Polar,Mc,McMurdo Base,10 m,-18.0 °C,984.0 hPa,60%,1.49 hPa,-23.9 °C,-3948 m,257.3 K,0.57 g/kg,602 m AGL
Nairobi_weather,f64,30,5000,6022.6272,6022.6272,6022.6272,0,166666.66666666666,Nairobi | 1795m | 19.0 °C | RH=65% | Td=12.3 °C | DA=2706 m | θ=310.9 K,Tropical,N,Nairobi,1795 m,19.0 °C,815.0 hPa,65%,21.96 hPa,12.3 °C,2706 m,310.9 K,11.09 g/kg,688 m AGL
Lhasa_weather,f64,29,5000,5979.657,5979.657,5979.657,0,172413.7931034483,Lhasa | 3650m | 8.5 °C | RH=35% | Td=-6.1 °C | DA=3746 m | θ=319.5 K,Alpine,L,Lhasa,3650 m,8.5 °C,652.0 hPa,35%,11.09 hPa,-6.1 °C,3746 m,319.5 K,3.73 g/kg,1494 m AGL
Death Valley_weather,f64,28,5000,5659.509,5659.509,5659.509,0,178571.42857142858,Death Valley | -86m | 38.5 °C | RH=12% | Td=4.1 °C | DA=2713 m | θ=310.6 K,Arid,DV,Death Valley,-86 m,38.5 °C,1025.0 hPa,12%,68.21 hPa,4.1 °C,2713 m,310.6 K,5.01 g/kg,3521 m AGL
Reykjavik_weather,f64,28,5000,5605.355,5605.355,5605.355,0,178571.42857142858,Reykjavik | 61m | 4.6 °C | RH=82% | Td=1.8 °C | DA=-1172 m | θ=278.4 K,Polar,R,Reykjavik,61 m,4.6 °C,1005.0 hPa,82%,8.48 hPa,1.8 °C,-1172 m,278.4 K,4.33 g/kg,287 m AGL
Singapore_weather,f64,27,5000,5538.391,5538.391,5538.391,0,185185.1851851852,Singapore | 16m | 27.5 °C | RH=84% | Td=24.6 °C | DA=1520 m | θ=300.9 K,Tropical,S,Singapore,16 m,27.5 °C,1010.0 hPa,84%,36.72 hPa,24.6 °C,1520 m,300.9 K,19.59 g/kg,301 m AGL
