experiment_name,precision,elapsed_ms,iterations,avg_time_ns,min_time_ns,max_time_ns,time_stddev,iterations_per_sec,result,category,symbol,name,target,module,status,elapsed_ms
stress_summary,f64,7638,1,3595221800,3595221800,3595221800,0,0.13092433,jobs_total=803 jobs_ok=803 jobs_failed=0 jobs_sum_ms=2886963 min_job_ms=54 max_job_ms=6269 saturation_factor=377.97,overview,SUM,Stress Summary,stress,overview,ok,7638
benchmark_summary,f64,75223,1,2350718700,2350718700,2350718700,0,0.013293806,tests_total=32 tests_ok=32 tests_failed=0 elapsed_sum_ms=75223 min_ms=54 max_ms=6035 avg_ms=2350.72,benchmark,SUM,BM Summary,benchmark,summary,ok,75223
benchmark_001,f64,68,1,68000000,68000000,68000000,0,14.705882,success=true code=Some(0) stdout_bytes=150 stderr_bytes=214,bm01,BSN,bm001,benchmark,bench_stddev_nonnegative,ok,68
benchmark_002,f64,88,1,88000000,88000000,88000000,0,11.363636,success=true code=Some(0) stdout_bytes=150 stderr_bytes=214,bm01,BTC,bm002,benchmark,bench_timing_consistency,ok,88
benchmark_003,f64,4745,1,4745000000,4745000000,4745000000,0,0.21074815,success=true code=Some(0) stdout_bytes=150 stderr_bytes=318,bm01,DBM,bm003,benchmark,encode,ok,4745
benchmark_004,f64,4303,1,4303000000,4303000000,4303000000,0,0.232396,success=true code=Some(0) stdout_bytes=146 stderr_bytes=266,bm01,DE,bm004,benchmark,encode,ok,4303
benchmark_005,f64,4130,1,4130000000,4130000000,4130000000,0,0.24213076,success=true code=Some(0) stdout_bytes=157 stderr_bytes=214,bm01,EBT,bm005,benchmark,encode,ok,4130
benchmark_006,f64,309,1,309000000,309000000,309000000,0,3.2362459,success=true code=Some(0) stdout_bytes=157 stderr_bytes=214,bm01,EDR,bm006,benchmark,encode,ok,309
benchmark_007,f64,543,1,543000000,543000000,543000000,0,1.8416207,success=true code=Some(0) stdout_bytes=162 stderr_bytes=266,bm01,ESM,bm007,benchmark,encode,ok,543
benchmark_008,f64,234,1,234000000,234000000,234000000,0,4.2735043,success=true code=Some(0) stdout_bytes=160 stderr_bytes=214,bm01,RPF,bm008,benchmark,encode,ok,234
benchmark_009,f64,606,1,606000000,606000000,606000000,0,1.650165,success=true code=Some(0) stdout_bytes=148 stderr_bytes=214,bm01,EDM,bm009,benchmark,encode_decode_multiple,ok,606
benchmark_010,f64,291,1,291000000,291000000,291000000,0,3.4364262,success=true code=Some(0) stdout_bytes=152 stderr_bytes=214,bm01,BRC,bm010,benchmark,engine,ok,291
benchmark_011,f64,283,1,283000000,283000000,283000000,0,3.5335689,success=true code=Some(0) stdout_bytes=155 stderr_bytes=214,bm02,BZI,bm011,benchmark,engine,ok,283
benchmark_012,f64,4879,1,4879000000,4879000000,4879000000,0,0.20496003,success=true code=Some(0) stdout_bytes=156 stderr_bytes=266,bm02,CHF,bm012,benchmark,engine,ok,4879
benchmark_013,f64,71,1,71000000,71000000,71000000,0,14.084507,success=true code=Some(0) stdout_bytes=152 stderr_bytes=214,bm02,HSI,bm013,benchmark,engine,ok,71
benchmark_014,f64,135,1,135000000,135000000,135000000,0,7.4074073,success=true code=Some(0) stdout_bytes=145 stderr_bytes=157,bm02,MB,bm014,benchmark,engine,ok,135
benchmark_015,f64,4843,1,4843000000,4843000000,4843000000,0,0.20648359,success=true code=Some(0) stdout_bytes=159 stderr_bytes=214,bm02,TCR,bm015,benchmark,engine,ok,4843
benchmark_016,f64,4407,1,4407000000,4407000000,4407000000,0,0.22691174,success=true code=Some(0) stdout_bytes=146 stderr_bytes=266,bm02,VI4,bm016,benchmark,engine,ok,4407
benchmark_017,f64,302,1,302000000,302000000,302000000,0,3.3112583,success=true code=Some(0) stdout_bytes=161 stderr_bytes=266,bm02,RCE,bm017,benchmark,report,ok,302
benchmark_018,f64,4180,1,4180000000,4180000000,4180000000,0,0.23923445,success=true code=Some(0) stdout_bytes=159 stderr_bytes=266,bm02,RCH,bm018,benchmark,report,ok,4180
benchmark_019,f64,54,1,54000000,54000000,54000000,0,18.518518,success=true code=Some(0) stdout_bytes=154 stderr_bytes=157,bm02,RHD,bm019,benchmark,report,ok,54
benchmark_020,f64,286,1,286000000,286000000,286000000,0,3.4965036,success=true code=Some(0) stdout_bytes=153 stderr_bytes=266,bm02,RHE,bm020,benchmark,report,ok,286
benchmark_021,f64,520,1,520000000,520000000,520000000,0,1.9230769,success=true code=Some(0) stdout_bytes=151 stderr_bytes=214,bm03,RHT,bm021,benchmark,report,ok,520
benchmark_022,f64,4185,1,4185000000,4185000000,4185000000,0,0.23894863,success=true code=Some(0) stdout_bytes=157 stderr_bytes=266,bm03,RMH,bm022,benchmark,report,ok,4185
benchmark_023,f64,4886,1,4886000000,4886000000,4886000000,0,0.20466639,success=true code=Some(0) stdout_bytes=155 stderr_bytes=266,bm03,RMT,bm023,benchmark,report,ok,4886
benchmark_024,f64,280,1,280000000,280000000,280000000,0,3.5714285,success=true code=Some(0) stdout_bytes=154 stderr_bytes=214,bm03,RTO,bm024,benchmark,report,ok,280
benchmark_025,f64,4791,1,4791000000,4791000000,4791000000,0,0.20872469,success=true code=Some(0) stdout_bytes=144 stderr_bytes=266,bm03,RAF,bm025,benchmark,report_all_formats,ok,4791
benchmark_026,f64,5030,1,5030000000,5030000000,5030000000,0,0.19880715,success=true code=Some(0) stdout_bytes=152 stderr_bytes=266,bm03,RGA,bm026,benchmark,report_generate_all_fields,ok,5030
benchmark_027,f64,6035,1,6035000000,6035000000,6035000000,0,0.16570008,success=true code=Some(0) stdout_bytes=164 stderr_bytes=214,bm03,HAP,bm027,benchmark,simulation,ok,6035
benchmark_028,f64,4504,1,4504000000,4504000000,4504000000,0,0.22202487,success=true code=Some(0) stdout_bytes=161 stderr_bytes=214,bm03,HRA,bm028,benchmark,simulation,ok,4504
benchmark_029,f64,5051,1,5051000000,5051000000,5051000000,0,0.1979806,success=true code=Some(0) stdout_bytes=165 stderr_bytes=266,bm03,RSR,bm029,benchmark,simulation,ok,5051
benchmark_030,f64,1124,1,1124000000,1124000000,1124000000,0,0.88967973,success=true code=Some(0) stdout_bytes=153 stderr_bytes=266,bm03,SSZ,bm030,benchmark,simulation,ok,1124
benchmark_031,f64,1331,1,1331000000,1331000000,1331000000,0,0.7513148,success=true code=Some(0) stdout_bytes=151 stderr_bytes=266,bm04,TA,bm031,benchmark,simulation,ok,1331
benchmark_032,f64,2729,1,2729000000,2729000000,2729000000,0,0.3664346,success=true code=Some(0) stdout_bytes=148 stderr_bytes=318,bm04,ZS,bm032,benchmark,simulation,ok,2729
parser_summary,f64,269092,1,3737388800,3737388800,3737388800,0,0.003716201,tests_total=72 tests_ok=72 tests_failed=0 elapsed_sum_ms=269092 min_ms=353 max_ms=5938 avg_ms=3737.39,parser,SUM,PR Summary,parser,summary,ok,269092
parser_001,f64,3023,1,3023000000,3023000000,3023000000,0,0.33079723,success=true code=Some(0) stdout_bytes=140 stderr_bytes=312,pr01,CE,pr001,parser,csv,ok,3023
parser_002,f64,2763,1,2763000000,2763000000,2763000000,0,0.36192545,success=true code=Some(0) stdout_bytes=149 stderr_bytes=260,pr01,CEP,pr002,parser,csv,ok,2763
parser_003,f64,4752,1,4752000000,4752000000,4752000000,0,0.21043772,success=true code=Some(0) stdout_bytes=148 stderr_bytes=260,pr01,CEQ,pr003,parser,csv,ok,4752
parser_004,f64,379,1,379000000,379000000,379000000,0,2.6385224,success=true code=Some(0) stdout_bytes=150 stderr_bytes=208,pr01,CLM,pr004,parser,csv,ok,379
parser_005,f64,3039,1,3039000000,3039000000,3039000000,0,0.3290556,success=true code=Some(0) stdout_bytes=147 stderr_bytes=312,pr01,CPS,pr005,parser,csv,ok,3039
parser_006,f64,1068,1,1068000000,1068000000,1068000000,0,0.9363296,success=true code=Some(0) stdout_bytes=141 stderr_bytes=260,pr01,CQ,pr006,parser,csv,ok,1068
parser_007,f64,4208,1,4208000000,4208000000,4208000000,0,0.23764259,success=true code=Some(0) stdout_bytes=153 stderr_bytes=208,pr01,CUQ,pr007,parser,csv,ok,4208
parser_008,f64,5068,1,5068000000,5068000000,5068000000,0,0.1973165,success=true code=Some(0) stdout_bytes=143 stderr_bytes=208,pr01,CV,pr008,parser,csv,ok,5068
parser_009,f64,4893,1,4893000000,4893000000,4893000000,0,0.2043736,success=true code=Some(0) stdout_bytes=146 stderr_bytes=260,pr01,CVF,pr009,parser,csv,ok,4893
parser_010,f64,4391,1,4391000000,4391000000,4391000000,0,0.22773856,success=true code=Some(0) stdout_bytes=146 stderr_bytes=260,pr01,CVT,pr010,parser,csv,ok,4391
parser_011,f64,2875,1,2875000000,2875000000,2875000000,0,0.3478261,success=true code=Some(0) stdout_bytes=155 stderr_bytes=260,pr02,CWE,pr011,parser,csv,ok,2875
parser_012,f64,4827,1,4827000000,4827000000,4827000000,0,0.20716801,success=true code=Some(0) stdout_bytes=150 stderr_bytes=364,pr02,CWR,pr012,parser,csv,ok,4827
parser_013,f64,4874,1,4874000000,4874000000,4874000000,0,0.20517029,success=true code=Some(0) stdout_bytes=147 stderr_bytes=208,pr02,HA,pr013,parser,html,ok,4874
