experiment_name,precision,elapsed_ms,iterations,avg_time_ns,min_time_ns,max_time_ns,time_stddev,iterations_per_sec,result,category,symbol,name,target,module,status,elapsed_ms
astronomy_011,f64,5556,1,5556000000,5556000000,5556000000,0,0.1799856,success=true code=Some(0) stdout_bytes=178 stderr_bytes=266,as02,CDI,as011,astronomy,cosmology,ok,5556
astronomy_012,f64,951,1,951000000,951000000,951000000,0,1.0515248,success=true code=Some(0) stdout_bytes=176 stderr_bytes=266,as02,CDZ,as012,astronomy,cosmology,ok,951
astronomy_013,f64,5516,1,5516000000,5516000000,5516000000,0,0.18129079,success=true code=Some(0) stdout_bytes=153 stderr_bytes=266,as02,CD,as013,astronomy,cosmology,ok,5516
astronomy_014,f64,5287,1,5287000000,5287000000,5287000000,0,0.18914318,success=true code=Some(0) stdout_bytes=166 stderr_bytes=214,as02,DDT,as014,astronomy,cosmology,ok,5287
astronomy_015,f64,5091,1,5091000000,5091000000,5091000000,0,0.19642507,success=true code=Some(0) stdout_bytes=176 stderr_bytes=214,as02,EZL,as015,astronomy,cosmology,ok,5091
astronomy_016,f64,5463,1,5463000000,5463000000,5463000000,0,0.1830496,success=true code=Some(0) stdout_bytes=151 stderr_bytes=266,as02,EZL,as016,astronomy,cosmology,ok,5463
astronomy_017,f64,2667,1,2667000000,2667000000,2667000000,0,0.37495312,success=true code=Some(0) stdout_bytes=173 stderr_bytes=266,as02,HAZ,as017,astronomy,cosmology,ok,2667
astronomy_018,f64,5276,1,5276000000,5276000000,5276000000,0,0.18953753,success=true code=Some(0) stdout_bytes=168 stderr_bytes=318,as02,HEI,as018,astronomy,cosmology,ok,5276
astronomy_019,f64,2640,1,2640000000,2640000000,2640000000,0,0.37878788,success=true code=Some(0) stdout_bytes=152 stderr_bytes=266,as02,HV,as019,astronomy,cosmology,ok,2640
astronomy_020,f64,5437,1,5437000000,5437000000,5437000000,0,0.18392496,success=true code=Some(0) stdout_bytes=174 stderr_bytes=318,as02,LTI,as020,astronomy,cosmology,ok,5437
