experiment_name,precision,elapsed_ms,iterations,avg_time_ns,min_time_ns,max_time_ns,time_stddev,iterations_per_sec,result,category,symbol,name,target,module,status,elapsed_ms
parser_061,f64,4706,1,4706000000,4706000000,4706000000,0,0.21249469,success=true code=Some(0) stdout_bytes=141 stderr_bytes=312,pr07,YB,pr061,parser,yaml,ok,4706
parser_062,f64,4505,1,4505000000,4505000000,4505000000,0,0.22197558,success=true code=Some(0) stdout_bytes=151 stderr_bytes=260,pr07,YEI,pr062,parser,yaml,ok,4505
parser_063,f64,2811,1,2811000000,2811000000,2811000000,0,0.3557453,success=true code=Some(0) stdout_bytes=144 stderr_bytes=260,pr07,YM,pr063,parser,yaml,ok,2811
parser_064,f64,2446,1,2446000000,2446000000,2446000000,0,0.40883073,success=true code=Some(0) stdout_bytes=146 stderr_bytes=312,pr07,YMD,pr064,parser,yaml,ok,2446
parser_065,f64,586,1,586000000,586000000,586000000,0,1.7064847,success=true code=Some(0) stdout_bytes=141 stderr_bytes=260,pr07,YN,pr065,parser,yaml,ok,586
parser_066,f64,3682,1,3682000000,3682000000,3682000000,0,0.2715915,success=true code=Some(0) stdout_bytes=143 stderr_bytes=364,pr07,YN,pr066,parser,yaml,ok,3682
parser_067,f64,2826,1,2826000000,2826000000,2826000000,0,0.35385704,success=true code=Some(0) stdout_bytes=150 stderr_bytes=260,pr07,YQS,pr067,parser,yaml,ok,2826
parser_068,f64,4334,1,4334000000,4334000000,4334000000,0,0.23073374,success=true code=Some(0) stdout_bytes=145 stderr_bytes=208,pr07,YS,pr068,parser,yaml,ok,4334
parser_069,f64,2517,1,2517000000,2517000000,2517000000,0,0.39729837,success=true code=Some(0) stdout_bytes=143 stderr_bytes=260,pr07,YS,pr069,parser,yaml,ok,2517
parser_070,f64,4652,1,4652000000,4652000000,4652000000,0,0.2149613,success=true code=Some(0) stdout_bytes=147 stderr_bytes=260,pr07,YTN,pr070,parser,yaml,ok,4652
